epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.78937,0.71359,0.65282,1,0.63929,0.00054845,0.00054845,0.00054845
2,4.9057,0.59686,0.77745,1,0.54201,0.00109319,0.00109319,0.00109319
3,6.96006,0.53304,0.86053,1,0.52749,0.00162692,0.00162692,0.00162692
4,8.92629,0.49966,0.8368,1,0.79621,0.00161749,0.00161749,0.00161749
5,10.9733,0.45483,0.77745,1,0.69842,0.00160099,0.00160099,0.00160099
6,12.9636,0.46265,0.8457,1,0.33124,0.00158448,0.00158448,0.00158448
7,15.0478,0.40252,0.85757,1,0.28082,0.00156798,0.00156798,0.00156798
8,17.1473,0.42113,0.95252,1,0.18232,0.00155148,0.00155148,0.00155148
9,19.1429,0.35607,0.93769,1,0.17999,0.00153497,0.00153497,0.00153497
10,21.1471,0.36579,0.93472,1,0.13989,0.00151847,0.00151847,0.00151847
11,23.1409,0.29266,0.90801,1,0.17736,0.00150197,0.00150197,0.00150197
12,25.2287,0.30653,0.93472,1,0.1467,0.00148546,0.00148546,0.00148546
13,27.3115,0.3154,0.87537,1,0.26693,0.00146896,0.00146896,0.00146896
14,29.3747,0.2661,0.89318,1,0.24749,0.00145246,0.00145246,0.00145246
15,31.4857,0.26564,0.95549,1,0.11022,0.00143595,0.00143595,0.00143595
16,33.5365,0.29363,0.89318,1,0.28714,0.00141945,0.00141945,0.00141945
17,35.5637,0.25822,0.93472,1,0.23552,0.00140295,0.00140295,0.00140295
18,37.5261,0.21578,0.97923,1,0.08552,0.00138644,0.00138644,0.00138644
19,39.5886,0.28366,0.91098,1,0.18994,0.00136994,0.00136994,0.00136994
20,41.5906,0.2041,0.94955,1,0.1027,0.00135344,0.00135344,0.00135344
21,43.729,0.205,0.91988,1,0.16205,0.00133693,0.00133693,0.00133693
22,45.7311,0.21678,0.95549,1,0.1197,0.00132043,0.00132043,0.00132043
23,47.7327,0.18921,0.93769,1,0.16605,0.00130393,0.00130393,0.00130393
24,49.861,0.16849,0.97923,1,0.06352,0.00128742,0.00128742,0.00128742
25,51.8567,0.18113,0.94659,1,0.11976,0.00127092,0.00127092,0.00127092
26,53.9179,0.15255,0.99407,1,0.05819,0.00125442,0.00125442,0.00125442
27,55.9292,0.18207,0.92285,1,0.17839,0.00123791,0.00123791,0.00123791
28,57.9248,0.17948,0.94362,1,0.13463,0.00122141,0.00122141,0.00122141
29,59.9599,0.1496,0.97033,1,0.08296,0.00120491,0.00120491,0.00120491
30,61.9512,0.19948,0.94065,1,0.15128,0.0011884,0.0011884,0.0011884
31,64.028,0.15939,0.91098,1,0.27688,0.0011719,0.0011719,0.0011719
32,65.9987,0.14396,0.93175,1,0.32802,0.0011554,0.0011554,0.0011554
33,67.9806,0.1354,0.91395,1,0.188,0.00113889,0.00113889,0.00113889
34,69.9792,0.12731,0.92878,1,0.20377,0.00112239,0.00112239,0.00112239
35,72.0731,0.13612,0.92582,1,0.17092,0.00110589,0.00110589,0.00110589
36,74.0757,0.12336,0.91691,1,0.16163,0.00108938,0.00108938,0.00108938
37,76.1682,0.11185,0.96439,1,0.08058,0.00107288,0.00107288,0.00107288
38,78.2702,0.13065,0.91691,1,0.16387,0.00105638,0.00105638,0.00105638
39,80.3649,0.15771,0.89021,1,0.21219,0.00103987,0.00103987,0.00103987
40,82.3447,0.11352,0.91691,1,0.30503,0.00102337,0.00102337,0.00102337
41,84.3722,0.12096,0.90801,1,0.24026,0.00100687,0.00100687,0.00100687
42,86.3774,0.11281,0.89318,1,0.2744,0.000990365,0.000990365,0.000990365
43,88.4597,0.12711,0.90801,1,0.20738,0.000973861,0.000973861,0.000973861
44,90.569,0.12973,0.89021,1,0.39937,0.000957358,0.000957358,0.000957358
45,92.5497,0.11138,0.89318,1,0.30183,0.000940855,0.000940855,0.000940855
46,94.5094,0.12446,0.88724,1,0.45829,0.000924352,0.000924352,0.000924352
47,96.5156,0.10439,0.86944,1,0.39522,0.000907848,0.000907848,0.000907848
48,98.5157,0.08222,0.87834,1,0.3219,0.000891345,0.000891345,0.000891345
49,100.578,0.08518,0.89614,1,0.32157,0.000874842,0.000874842,0.000874842
50,102.686,0.0919,0.90504,1,0.24533,0.000858338,0.000858338,0.000858338
51,104.745,0.10321,0.92582,1,0.17803,0.000841835,0.000841835,0.000841835
52,106.75,0.09781,0.89021,1,0.25379,0.000825332,0.000825332,0.000825332
53,108.74,0.08298,0.89318,1,0.34776,0.000808828,0.000808828,0.000808828
54,110.712,0.09692,0.8724,1,0.56451,0.000792325,0.000792325,0.000792325
55,112.762,0.10999,0.88131,1,0.33985,0.000775822,0.000775822,0.000775822
56,114.865,0.09281,0.89318,1,0.26951,0.000759318,0.000759318,0.000759318
57,116.946,0.08842,0.92285,1,0.20985,0.000742815,0.000742815,0.000742815
58,118.933,0.08231,0.91395,1,0.24221,0.000726312,0.000726312,0.000726312
59,120.946,0.08556,0.90208,1,0.26668,0.000709809,0.000709809,0.000709809
60,123.013,0.06417,0.91098,1,0.21864,0.000693305,0.000693305,0.000693305
61,125.036,0.07163,0.89021,1,0.1837,0.000676802,0.000676802,0.000676802
62,127.213,0.08849,0.87537,1,0.31556,0.000660299,0.000660299,0.000660299
63,129.227,0.08643,0.88427,1,0.22741,0.000643795,0.000643795,0.000643795
64,131.238,0.07138,0.94362,1,0.10022,0.000627292,0.000627292,0.000627292
65,133.536,0.06572,0.95846,1,0.07622,0.000610789,0.000610789,0.000610789
66,135.493,0.06087,0.90504,1,0.18811,0.000594286,0.000594286,0.000594286
67,137.502,0.09749,0.91691,1,0.18842,0.000577782,0.000577782,0.000577782
68,139.528,0.05278,0.96439,1,0.08896,0.000561279,0.000561279,0.000561279
69,141.668,0.06268,0.97923,1,0.05595,0.000544776,0.000544776,0.000544776
70,143.701,0.05451,0.95252,1,0.08272,0.000528272,0.000528272,0.000528272
71,145.728,0.0642,0.93175,1,0.14123,0.000511769,0.000511769,0.000511769
72,147.859,0.07819,0.91395,1,0.19651,0.000495266,0.000495266,0.000495266
73,149.808,0.06637,0.92878,1,0.14445,0.000478762,0.000478762,0.000478762
74,151.916,0.07512,0.92878,1,0.14828,0.000462259,0.000462259,0.000462259
75,153.93,0.06664,0.95549,1,0.08581,0.000445756,0.000445756,0.000445756
76,155.931,0.06338,0.94955,1,0.08914,0.000429253,0.000429253,0.000429253
77,157.95,0.06004,0.93769,1,0.1447,0.000412749,0.000412749,0.000412749
78,160.047,0.07098,0.92582,1,0.16121,0.000396246,0.000396246,0.000396246
79,162.023,0.06912,0.92285,1,0.15167,0.000379743,0.000379743,0.000379743
