epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36675,0.71268,3.56305,1.15444,0.00354,1,0.26833,0.22316,0.38921,2.84904,0.77926,0.00011669,0.00011669,0.00011669
2,5.83289,0.54118,2.94102,0.97553,0.00365,1,0.24238,0.21334,0.41133,2.71227,0.76115,0.000247575,0.000247575,0.000247575
3,7.17688,0.57077,2.40502,0.9717,0.00369,1,0.36598,0.31544,0.50269,2.61232,0.76857,0.000375818,0.000375818,0.000375818
4,8.53515,0.59807,2.20309,0.95233,0.0038,1,0.41711,0.36926,0.46202,2.59387,0.78871,0.000501422,0.000501422,0.000501422
5,9.8731,0.61165,2.05859,0.95689,0.00377,1,0.43167,0.36238,0.55659,2.4949,0.82056,0.000624385,0.000624385,0.000624385
6,11.2484,0.56582,1.81108,0.90781,0.00354,1,0.50464,0.42575,0.58739,2.4748,0.87267,0.000744707,0.000744707,0.000744707
7,12.5393,0.60325,1.66609,0.97053,0.1269,0.8375,0.37443,0.25528,0.73075,2.83654,1.08452,0.000862389,0.000862389,0.000862389
8,13.8473,0.59749,1.60786,0.92503,0.00339,0.97917,0.36246,0.3025,0.71736,2.92589,1.07636,0.00097743,0.00097743,0.00097743
9,15.1332,0.56515,1.60056,0.92914,0.79857,0.23001,0.62438,0.506,0.59619,2.51422,0.86243,0.00108983,0.00108983,0.00108983
10,16.3639,0.59202,1.53921,0.96591,0.81863,0.54018,0.65564,0.52218,0.62906,2.19911,0.85637,0.00119959,0.00119959,0.00119959
11,17.6394,0.59616,1.35426,0.91629,0.59871,0.68486,0.7057,0.51414,0.66676,1.82928,0.86385,0.00130671,0.00130671,0.00130671
12,18.8768,0.59467,1.38513,0.93651,0.72171,0.725,0.79675,0.67192,0.60593,1.57576,0.85128,0.00141119,0.00141119,0.00141119
13,20.1494,0.56975,1.28371,0.92862,0.82551,0.88824,0.89869,0.79743,0.55272,1.29476,0.819,0.00146896,0.00146896,0.00146896
14,21.3952,0.56101,1.33687,0.92931,0.72028,0.65298,0.73698,0.66433,0.51135,1.92875,0.81924,0.00145246,0.00145246,0.00145246
15,22.6229,0.59853,1.3056,0.94181,0.81576,0.86667,0.91373,0.80987,0.50097,1.20177,0.80369,0.00143595,0.00143595,0.00143595
16,23.8434,0.55612,1.17194,0.90517,0.75095,0.825,0.84504,0.72013,0.52687,1.21125,0.82619,0.00141945,0.00141945,0.00141945
17,25.0665,0.56741,1.1418,0.91046,0.85625,0.79863,0.92087,0.82169,0.4797,1.0116,0.8126,0.00140295,0.00140295,0.00140295
18,26.309,0.56473,1.07501,0.93858,0.76015,0.86049,0.79161,0.72134,0.43785,1.25811,0.82026,0.00138644,0.00138644,0.00138644
19,27.5329,0.55193,1.07617,0.91641,0.84025,0.85833,0.92425,0.81796,0.46195,1.02538,0.79376,0.00136994,0.00136994,0.00136994
20,28.7711,0.54137,1.13332,0.91825,0.8259,0.95337,0.92019,0.83066,0.49652,0.91542,0.81252,0.00135344,0.00135344,0.00135344
21,30.0092,0.52418,1.03225,0.90867,0.76307,0.88591,0.89933,0.81214,0.48639,0.9357,0.79898,0.00133693,0.00133693,0.00133693
22,31.2423,0.49881,0.96992,0.89522,0.82936,0.90252,0.93063,0.82904,0.46033,0.88092,0.80184,0.00132043,0.00132043,0.00132043
23,32.4663,0.52202,1.01388,0.8977,0.67355,0.71394,0.75582,0.67544,0.49107,1.48192,0.80895,0.00130393,0.00130393,0.00130393
24,33.7012,0.50213,0.94274,0.89526,0.78559,0.76852,0.77058,0.69959,0.4334,1.21225,0.79229,0.00128742,0.00128742,0.00128742
25,34.9253,0.47471,0.93017,0.87662,0.771,0.92181,0.92506,0.85743,0.40025,0.83758,0.77467,0.00127092,0.00127092,0.00127092
26,36.1781,0.53496,0.97012,0.93567,0.80296,0.91911,0.90793,0.8193,0.44171,0.82806,0.78127,0.00125442,0.00125442,0.00125442
27,37.4097,0.51094,0.97793,0.89214,0.80126,0.94048,0.87624,0.77118,0.5092,0.92574,0.81823,0.00123791,0.00123791,0.00123791
28,38.6421,0.53494,0.9335,0.9189,0.79349,0.89387,0.87961,0.79584,0.47756,0.87705,0.82139,0.00122141,0.00122141,0.00122141
29,39.8624,0.50498,0.9209,0.91378,0.83357,0.5822,0.87842,0.78145,0.51478,1.10047,0.8273,0.00120491,0.00120491,0.00120491
30,41.1012,0.54729,0.90663,0.92396,0.74197,0.63162,0.77132,0.6869,0.54677,1.39115,0.8243,0.0011884,0.0011884,0.0011884
31,42.3323,0.5191,0.88167,0.89897,0.81805,0.9717,0.93643,0.84927,0.4477,0.83813,0.79113,0.0011719,0.0011719,0.0011719
32,43.545,0.48949,0.85916,0.8722,0.86583,1,0.96613,0.88721,0.40835,0.68226,0.77401,0.0011554,0.0011554,0.0011554
33,44.7845,0.47645,0.8022,0.87468,0.75741,0.96667,0.95663,0.88012,0.40254,0.8327,0.76859,0.00113889,0.00113889,0.00113889
34,46.0192,0.50267,0.87381,0.91176,0.82138,1,0.98743,0.90779,0.40824,0.77826,0.76822,0.00112239,0.00112239,0.00112239
35,47.2437,0.48564,0.80148,0.87806,0.86334,0.96039,0.97856,0.8975,0.40183,0.64645,0.77314,0.00110589,0.00110589,0.00110589
36,48.4677,0.4633,0.77945,0.87255,0.86954,0.928,0.94746,0.86499,0.43414,0.58219,0.78662,0.00108938,0.00108938,0.00108938
37,49.6942,0.45089,0.78424,0.88089,0.83541,0.95091,0.95943,0.8837,0.39384,0.61637,0.77762,0.00107288,0.00107288,0.00107288
38,50.9284,0.4863,0.75161,0.87826,0.82744,0.97698,0.96705,0.90358,0.36704,0.5586,0.77083,0.00105638,0.00105638,0.00105638
39,52.1617,0.4639,0.74812,0.89749,0.92966,0.90143,0.97033,0.90522,0.37419,0.60866,0.76974,0.00103987,0.00103987,0.00103987
40,53.4086,0.47293,0.8227,0.91683,0.8833,0.99412,0.97993,0.92049,0.35933,0.55354,0.76404,0.00102337,0.00102337,0.00102337
41,54.6531,0.46449,0.76212,0.89916,0.90086,0.95833,0.97102,0.90861,0.3534,0.51777,0.76024,0.00100687,0.00100687,0.00100687
42,55.8674,0.47313,0.76326,0.88081,0.8937,0.95833,0.97648,0.90993,0.38027,0.53845,0.76188,0.000990365,0.000990365,0.000990365
43,57.0932,0.50556,0.75462,0.92887,0.95489,0.94905,0.97695,0.92433,0.36012,0.52251,0.76391,0.000973861,0.000973861,0.000973861
44,58.3126,0.46086,0.70961,0.88786,0.92736,0.96715,0.97608,0.91828,0.36964,0.57041,0.76352,0.000957358,0.000957358,0.000957358
45,59.5414,0.42558,0.69729,0.87179,0.8683,0.91075,0.9506,0.89104,0.36773,0.68794,0.76944,0.000940855,0.000940855,0.000940855
46,60.7705,0.43913,0.66751,0.8818,0.88232,0.97246,0.96512,0.89629,0.40292,0.61714,0.7782,0.000924352,0.000924352,0.000924352
47,61.996,0.39453,0.62644,0.87001,0.8782,0.93951,0.98027,0.91678,0.38632,0.54592,0.77496,0.000907848,0.000907848,0.000907848
48,63.2067,0.45906,0.68554,0.89866,0.83236,0.81859,0.93166,0.86289,0.39032,0.68267,0.773,0.000891345,0.000891345,0.000891345
49,64.4237,0.43599,0.63237,0.89715,0.69959,0.79167,0.83437,0.77154,0.41031,1.09243,0.78107,0.000874842,0.000874842,0.000874842
50,65.6674,0.40498,0.6398,0.87367,0.7748,0.875,0.8658,0.79378,0.42662,0.75393,0.79109,0.000858338,0.000858338,0.000858338
51,66.9187,0.40851,0.63228,0.86433,0.82185,0.88333,0.89598,0.82836,0.38681,0.66242,0.77679,0.000841835,0.000841835,0.000841835
52,68.1418,0.42219,0.63284,0.8784,0.85534,0.87236,0.90071,0.81733,0.39443,0.69878,0.77717,0.000825332,0.000825332,0.000825332
53,69.3872,0.40985,0.60647,0.87286,0.8964,0.91667,0.92692,0.85437,0.38332,0.57687,0.77233,0.000808828,0.000808828,0.000808828
54,70.6118,0.43511,0.64427,0.89984,0.90999,0.977,0.98694,0.92969,0.37073,0.49802,0.76382,0.000792325,0.000792325,0.000792325
55,71.8637,0.40633,0.62833,0.86917,0.77805,0.98866,0.98367,0.94052,0.33759,0.65022,0.75781,0.000775822,0.000775822,0.000775822
56,73.1013,0.40766,0.64096,0.86605,0.83064,0.96555,0.96839,0.90538,0.37194,0.58277,0.76599,0.000759318,0.000759318,0.000759318
57,74.3129,0.42454,0.62391,0.8715,0.90952,0.97377,0.9758,0.91874,0.35652,0.4789,0.76428,0.000742815,0.000742815,0.000742815
58,75.555,0.41098,0.57448,0.87863,0.92766,0.97289,0.9826,0.91816,0.37808,0.42321,0.76541,0.000726312,0.000726312,0.000726312
59,76.8037,0.39951,0.58469,0.85251,0.89976,0.99571,0.98226,0.90124,0.41802,0.39738,0.77449,0.000709809,0.000709809,0.000709809
60,78.0487,0.42104,0.55574,0.90124,0.73394,0.96667,0.95716,0.89215,0.3823,0.63256,0.77481,0.000693305,0.000693305,0.000693305
61,79.2845,0.41434,0.55131,0.8593,0.73718,0.88437,0.96615,0.91733,0.35988,0.73395,0.77449,0.000676802,0.000676802,0.000676802
62,80.523,0.40359,0.57532,0.8646,0.96644,0.92721,0.98253,0.93564,0.36262,0.40619,0.76549,0.000660299,0.000660299,0.000660299
63,81.7691,0.40463,0.58102,0.8811,0.90491,0.92459,0.97582,0.93467,0.33524,0.43409,0.76597,0.000643795,0.000643795,0.000643795
64,83.0188,0.36868,0.51337,0.85461,0.89625,0.97269,0.97117,0.92621,0.32935,0.39132,0.76255,0.000627292,0.000627292,0.000627292
65,84.2564,0.41755,0.54204,0.87169,0.96171,0.95558,0.97243,0.92533,0.34703,0.41283,0.76264,0.000610789,0.000610789,0.000610789
66,85.5019,0.36784,0.49705,0.84747,0.93126,0.95833,0.97158,0.92678,0.33823,0.39179,0.76292,0.000594286,0.000594286,0.000594286
67,86.7491,0.36247,0.49846,0.85111,0.89105,0.95134,0.96476,0.91317,0.33295,0.45641,0.76178,0.000577782,0.000577782,0.000577782
68,87.9629,0.38982,0.56527,0.87154,0.8759,0.97117,0.96553,0.91351,0.35566,0.49829,0.76197,0.000561279,0.000561279,0.000561279
69,89.1884,0.38375,0.51146,0.86228,0.90269,0.97653,0.98366,0.92459,0.33629,0.4497,0.7581,0.000544776,0.000544776,0.000544776
70,90.4234,0.36559,0.52933,0.88459,0.97987,0.993,0.9926,0.94739,0.32888,0.38298,0.759,0.000528272,0.000528272,0.000528272
71,91.6678,0.36133,0.49179,0.85955,0.96641,1,0.9942,0.95912,0.32794,0.33433,0.75891,0.000511769,0.000511769,0.000511769
72,92.916,0.37933,0.53511,0.86009,0.97654,0.99078,0.9934,0.95333,0.32133,0.32374,0.75768,0.000495266,0.000495266,0.000495266
73,94.1359,0.39005,0.53285,0.87106,0.97308,0.97536,0.98933,0.96431,0.33511,0.35202,0.75784,0.000478762,0.000478762,0.000478762
